,titulos,description,datas,portal
62,"Após tomada de Aleppo, Bashar al-Assad busca apoio internacional","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:54:05,https://noticias.uol.com.br/ultimas-noticias/rfi/2024/12/02/apos-tomada-de-aleppo-bashar-al-assad-busca-apoio-internacional.htm
63,Biden muda de ideia e perdoa filho Hunter em casos de evasão fiscal e compra de arma,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:49:02,https://noticias.uol.com.br/ultimas-noticias/rfi/2024/12/02/biden-muda-de-ideia-e-perdoa-filho-hunter-em-casos-de-evasao-fiscal-e-compra-de-arma.htm
64,Diretora da ONU para o Meio Ambiente defende resultado das negociações sobre o plástico,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:24:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/diretora-da-onu-para-o-meio-ambiente-defende-resultado-das-negociacoes-sobre-o-plastico.htm
65,"Mobilização pró-UE na Geórgia não dá sinais de interrupção, afirma presidente","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:14:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/mobilizacao-pro-ue-na-georgia-nao-da-sinais-de-interrupcao-afirma-presidente.htm
66,Partidos de centro-direita devem manter o poder na Irlanda,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:09:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/partidos-de-centro-direita-devem-manter-o-poder-na-irlanda.htm
67,Forças curdas na Síria querem retirar civis de Aleppo diante de ofensiva rebelde,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 08:04:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/forcas-curdas-na-siria-querem-retirar-civis-de-aleppo-diante-de-ofensiva-rebelde.htm
68,Biden indulta filho Hunter em casos de evasão fiscal e compra de arma,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 07:59:14,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/biden-indulta-filho-hunter-em-casos-de-evasao-fiscal-e-compra-de-arma.htm
69,Mercosul e UE avançam negociações e acordo está nas mãos de líderes,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 07:57:21,https://noticias.uol.com.br/ultimas-noticias/redacao/2024/12/02/mercosul-e-ue-avancam-negociacoes-e-acordo-esta-agora-nas-maos-de-lideres.htm
70,Pra começar o dia,Mercosul e UE estão mais perto de acordo,2024-12-02 07:42:29,https://noticias.uol.com.br/newsletters/ultimas/uol-resumo-do-dia/2024/12/02/mercosul-e-ue-mais-perto-de-acordo.htm
71,UOL Notícias | Notícias do Dia no Brasil e no Mundo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 07:30:52,https://noticias.uol.com.br/newsletters/novos-posts/josmar-jozino/2024/12/02/caso-gritzbach-delegado-denunciado-chefiou-investigadores-presos-pela-pf.htm
72,UOL Notícias | Notícias do Dia no Brasil e no Mundo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 07:30:43,https://noticias.uol.com.br/newsletters/novos-posts/jamil-chade/2024/12/02/de-olho-em-trump-milei-ameaca-mercosul-e-tenta-minar-influencia-do-brasil.htm
73,Wade Wilson morreu? Onde está bonito e cruel condenado por matar,"Wade Wilson, de 30 anos, condenado à morte pelo assassinato de duas mulheres no estado da Flórida (EUA) em 2019, segue preso no estado.",2024-12-02 07:30:38,https://noticias.uol.com.br/internacional/ultimas-noticias/2024/12/02/wade-wilson-corredor-da-morte-condenacao-assassinatos.htm
74,"Com R$ 200 mi em dívidas, Telebras acumula cobranças","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 07:30:37,https://noticias.uol.com.br/politica/ultimas-noticias/2024/12/02/com-r-200-mi-em-dividas-telebras-acumula-cobrancas-o-que-responder.htm
75,Satélite espião expõe campo de batalha do século 7 no Oriente Médio,"Arqueólogos encontraram o campo da histórica batalha de al-Qadisiyyah, em que um pequeno exército muçulmano conquistou o persa Império Sassânida.",2024-12-02 07:30:36,https://noticias.uol.com.br/internacional/ultimas-noticias/2024/12/02/satelite-espiao-dos-eua-expoe-campo-de-batalha-do-seculo-7-no-oriente-medio.htm
